epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202133,2021-08-17,519,AC,,12,state,87602,9793.7326,110,1808,0,0.0206,894470,True,False
202133,2021-08-17,528,AL,,27,state,233285,6960.52535,117,5974,8,0.0256,3351543,True,False
202133,2021-08-17,523,AM,,13,state,421999,10029.17499,269,13639,9,0.0323,4207714,True,False
202133,2021-08-17,516,AP,,16,state,122080,14166.14352,18,1941,2,0.0159,861773,True,False
202133,2021-08-17,530,BA,,29,state,1210672,8108.64428,923,26178,27,0.0216,14930634,True,False
202133,2021-08-17,520,CE,,23,state,926987,10090.09042,607,23859,30,0.0257,9187103,True,False
202133,2021-08-17,529,DF,Brasília,5300108,city,406302,13298.92585,453,9002,9,0.0222,3055149,True,False
202133,2021-08-17,510,DF,Importados/Indefinidos,,city,54538,,26,847,1,0.0155,,True,False
202133,2021-08-17,529,DF,,53,state,460840,15084.04336,479,9849,10,0.0214,3055149,True,False
202133,2021-08-17,531,ES,,32,state,552662,13598.79254,719,12097,10,0.0219,4064052,True,False
202133,2021-08-17,524,GO,,52,state,786816,11060.82204,4607,21897,60,0.0278,7113540,True,False
202133,2021-08-17,516,MA,,21,state,344025,4835.48051,684,9859,15,0.0287,7114598,True,False
202133,2021-08-17,528,MG,,31,state,2025991,9514.97102,3315,52002,32,0.0257,21292666,True,False
202133,2021-08-17,516,MT,,51,state,507886,14403.12856,1576,13229,25,0.026,3526220,True,False
202133,2021-08-17,518,PA,,15,state,578942,6661.5923,559,16303,23,0.0282,8690745,True,False
202133,2021-08-17,524,PB,,25,state,428240,10601.89732,251,9108,10,0.0213,4039277,True,False
202133,2021-08-17,524,PE,,26,state,601076,6250.3867,584,19188,15,0.0319,9616621,True,False
202133,2021-08-17,517,PI,,22,state,313928,9566.65895,243,6915,4,0.022,3281480,True,False
202133,2021-08-17,467,PR,Abatiá,4100103,city,1113,15024.29806,4,20,0,0.018,7408,True,False
202133,2021-08-17,433,PR,Adrianópolis,4100202,city,1408,24039.61072,2,29,0,0.0206,5857,True,False
