epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202133,2021-08-17,524,PB,,25,state,428240,10601.89732,251,9108,10,0.0213,4039277,True,False
202133,2021-08-15,452,PB,Água Branca,2500106,city,1121,10877.15894,0,13,0,0.0116,10306,True,False
202133,2021-08-15,454,PB,Aguiar,2500205,city,527,9360.56838,0,5,0,0.0095,5630,True,False
202133,2021-08-15,479,PB,Alagoa Grande,2500304,city,4108,14444.95235,1,72,1,0.0175,28439,True,False
202133,2021-08-15,481,PB,Alagoa Nova,2500403,city,1437,6868.69653,20,23,0,0.016,20921,True,False
202133,2021-08-15,469,PB,Alagoinha,2500502,city,2066,14189.56044,0,25,0,0.0121,14560,True,False
202133,2021-08-15,446,PB,Alcantil,2500536,city,676,12270.82955,4,7,0,0.0104,5509,True,False
202133,2021-08-15,424,PB,Algodão de Jandaíra,2500577,city,251,9740.00776,0,1,0,0.004,2577,True,False
202133,2021-08-15,474,PB,Alhandra,2500601,city,2413,12231.96634,2,36,0,0.0149,19727,True,False
202133,2021-08-15,458,PB,Amparo,2500734,city,178,7907.59662,0,4,0,0.0225,2251,True,False
202133,2021-08-15,453,PB,Aparecida,2500775,city,980,11644.48669,1,14,0,0.0143,8416,True,False
202133,2021-08-15,475,PB,Araçagi,2500809,city,1664,9833.93416,1,24,0,0.0144,16921,True,False
202133,2021-08-15,458,PB,Arara,2500908,city,1040,7679.81096,0,29,0,0.0279,13542,True,False
202133,2021-08-15,451,PB,Araruna,2501005,city,703,3435.4689,1,16,0,0.0228,20463,True,False
202133,2021-08-15,478,PB,Areia,2501104,city,1914,8448.09322,1,31,0,0.0162,22656,True,False
202133,2021-08-15,447,PB,Areia de Baraúnas,2501153,city,210,9924.38563,0,4,0,0.019,2116,True,False
202133,2021-08-15,460,PB,Areial,2501203,city,372,5293.86651,3,12,0,0.0323,7027,True,False
202133,2021-08-15,463,PB,Aroeiras,2501302,city,1908,9981.16761,11,16,0,0.0084,19116,True,False
202133,2021-08-15,448,PB,Assunção,2501351,city,406,10076.94217,0,5,0,0.0123,4029,True,False
202133,2021-08-15,466,PB,Baía da Traição,2501401,city,1308,14379.94723,2,12,0,0.0092,9096,True,False
202133,2021-08-15,465,PB,Bananeiras,2501500,city,1520,7146.55132,0,26,0,0.0171,21269,True,False
202133,2021-08-15,444,PB,Baraúna,2501534,city,695,14000.8058,0,9,0,0.0129,4964,True,False
202133,2021-08-15,463,PB,Barra de Santana,2501575,city,641,7677.56618,0,7,0,0.0109,8349,True,False
202133,2021-08-15,452,PB,Barra de Santa Rosa,2501609,city,1710,11034.39375,0,12,0,0.007,15497,True,False
202133,2021-08-15,481,PB,Barra de São Miguel,2501708,city,637,10502.88541,2,7,0,0.011,6065,True,False
